Direction,Time,Text
Outgoing,7/25/2018 9:38:17 PM UTC-04:00,Hello. Still there?
Incoming,7/29/2018 6:23:15 PM UTC-04:00,Hi
Outgoing,7/29/2018 6:33:06 PM UTC-04:00,How's your summer?
Incoming,7/29/2018 7:49:48 PM UTC-04:00,No never tired it
Outgoing,7/29/2018 7:50:37 PM UTC-04:00,It's actually pretty good. Food emporium sells it if you have that around you
Incoming,7/29/2018 7:56:14 PM UTC-04:00,No I don’t but I’ve seen it st my job
Outgoing,7/29/2018 7:56:40 PM UTC-04:00,They make peaches in it too
Outgoing,7/29/2018 7:57:07 PM UTC-04:00,And then it would be cheaper to just get regular cottage cheese and cut your own fruit in it lol
Incoming,7/29/2018 7:57:24 PM UTC-04:00,Basically lol
Outgoing,7/29/2018 7:57:52 PM UTC-04:00,Peanut butter is good in cottage cheese too
Incoming,7/29/2018 10:02:54 PM UTC-04:00,Really ?
Outgoing,7/29/2018 10:07:57 PM UTC-04:00,It is. You should try it
Outgoing,7/29/2018 11:37:50 PM UTC-04:00,"https://m.youtube.com/watch?v=jEzbqS5HroA

Look at this. Kitten and puppy"
Incoming,7/30/2018 1:45:21 AM UTC-04:00,Aw that’s cute
Outgoing,7/30/2018 9:17:41 AM UTC-04:00,It is. Puppies and kittens lol
Incoming,7/30/2018 10:01:55 AM UTC-04:00,Yes of course
Outgoing,7/30/2018 10:42:04 AM UTC-04:00,Making videos of puppies and kittens can make people good money
Outgoing,7/30/2018 10:43:16 AM UTC-04:00,They weren't even doing anything in that video lol. The kitten tried to nurse off the puppy
Incoming,7/30/2018 11:23:36 AM UTC-04:00,I know
Outgoing,7/30/2018 12:01:58 PM UTC-04:00,They take advantage of our weakness for cute baby animals lol
Incoming,7/30/2018 1:12:24 PM UTC-04:00,I know right
Outgoing,7/30/2018 1:53:18 PM UTC-04:00,Those videos are addicting too
Incoming,7/30/2018 2:17:00 PM UTC-04:00,I guess not really for me
Outgoing,7/30/2018 2:19:43 PM UTC-04:00,They get a million views
Incoming,7/30/2018 2:47:13 PM UTC-04:00,I bet
Outgoing,7/30/2018 2:53:54 PM UTC-04:00,You could subscribe to them and wake up with a bunch of puppy videos in your email
Incoming,7/30/2018 4:41:47 PM UTC-04:00,Wow
Outgoing,7/30/2018 4:42:30 PM UTC-04:00,Do you watch YouTube a lot?
Incoming,7/30/2018 4:48:10 PM UTC-04:00,I do
Outgoing,7/30/2018 4:49:21 PM UTC-04:00,Me too. It's free and easier than tv
Incoming,7/30/2018 5:23:07 PM UTC-04:00,Yes I don’t even have tv
Outgoing,7/30/2018 5:25:16 PM UTC-04:00,I broke my TV lol. They're so cheap now. I tossed a pencil and it stabbed the screen and it's no more
Incoming,7/30/2018 5:29:38 PM UTC-04:00,Wow seriously
Outgoing,7/30/2018 5:44:13 PM UTC-04:00,They're so easy to break
Incoming,7/30/2018 5:50:41 PM UTC-04:00,Not really
Outgoing,7/30/2018 5:51:14 PM UTC-04:00,Maybe only for me haha
Incoming,7/30/2018 7:56:10 PM UTC-04:00,Yeah lol
Outgoing,7/30/2018 7:56:46 PM UTC-04:00,Did you ever have one of the old TVs that were heavy and had a glass screen?
Incoming,7/30/2018 11:01:10 PM UTC-04:00,Yes I had one for the longest time
Outgoing,7/30/2018 11:03:38 PM UTC-04:00,They last so much longer but it's not clear like HD TVs
Incoming,7/30/2018 11:04:49 PM UTC-04:00,Yeah true but you need one
Outgoing,7/30/2018 11:08:19 PM UTC-04:00,My parents had a really old TV that sat on the floor and didn't get a different one until like 2005
Incoming,7/30/2018 11:12:35 PM UTC-04:00,Oh wow
Outgoing,7/30/2018 11:17:09 PM UTC-04:00,Lasted a long time. There wasn't even a remote for it. You had to turn the dial on the tv
Incoming,7/30/2018 11:29:36 PM UTC-04:00,Oh god that’s old
Outgoing,7/30/2018 11:30:45 PM UTC-04:00,Lol it was. But it made people have to get up to change the channel or watch the commercials
Incoming,7/30/2018 11:34:40 PM UTC-04:00,I know that sucks
Outgoing,7/30/2018 11:38:56 PM UTC-04:00,It does. I guess that TV was made for when there were only maybe 3 channels. Now there's thousands
Incoming,7/30/2018 11:49:25 PM UTC-04:00,Yeah true
Outgoing,7/30/2018 11:50:32 PM UTC-04:00,All people did back in the 60s and 70s was sit in front of the TV at night and the whole country watched the same show
Incoming,7/30/2018 11:54:32 PM UTC-04:00,I know look
Incoming,7/30/2018 11:54:35 PM UTC-04:00,Lol
Outgoing,7/30/2018 11:55:19 PM UTC-04:00,Do you like any old shows? I like I love Lucy and all in the family
Incoming,7/30/2018 11:55:33 PM UTC-04:00,I don’t
Outgoing,7/30/2018 11:56:32 PM UTC-04:00,I love Lucy is black and white but it's hilarious. All in the family has an old cranky guy who guys his hippy son in law a meathead
Incoming,7/31/2018 3:22:22 AM UTC-04:00,What’s a meathead
Outgoing,7/31/2018 9:33:37 AM UTC-04:00,A very dumb person. It's funny there might be clips on youtube
Incoming,7/31/2018 10:15:24 AM UTC-04:00,Oh
Outgoing,7/31/2018 11:10:57 AM UTC-04:00,Have you ever seen I love lucy
